   ,TELEPULES,LEIRO_FID,GEOM_FIDS,ANYAG,MERET,HOSSZ,HIBA_DB
4770,sopron,65968,1410950;2814127;2814128;2814151;2814152;6270840;6270845;6270846;6272306;6272323;6272334;6272346;6272351;6272352;6272373;6272379;6272380;6272391;6272392;6272668;6272669;6272674;6272675;6272734;6272735;6272783;6273106;6273107;6273112;6273113;6273118;6273119;6273124;6273125;15259053;15259054,ac,80,230.7100,
4771,sopron,65969,1390845;1390875;1406549;1406554;1406555;1406560;1406566;1406567;1406573;1406574;1406579;1406580;1406585;1406586;1406591;1406592;1406597;1406598;2814206;2814207,kpe,110,154.1100,
4772,sopron,66050,1350704;1397158;1397163;1397164,ov,50,33.2600,
4773,sopron,66055,2830066;2830067,kpe,200,68.4600,
4774,sopron,66056,1375005;1375006;1390702;2831318;2831319,ac,250,311.5600,1
4775,sopron,66057,1359893;1359894,ac,300,7.0100,
4776,sopron,66069,1369862;1369866;1369867;1405697;1405698,kpe,110,85.8400,
4777,sopron,66090,1371411;1397905;1397906;1397911;2824581;2824582,ac,125,139.8300,1
4778,sopron,66092,1407417;1407418;2813917;2813918;6271018;6271042;6271043,kpe,90,84.5100,
4779,sopron,66093,6272019;6272924;6274021;6274022;15259059;15259060,kpe,90,161.4500,
4780,sopron,66094,781374,kpe,90,106.4100,
