,LEIRO_FID,GEOM_FIDS,ANYAG,MERET,HOSSZ,HIBA_DB
2567,60096,1402705;2819443;6274366;6274367;67809136;67809137,ac,80,83.1500,2
2568,42668,1362012;1362017;1362022;1362027;1362028;2845501;2845502;64127130;64127144;64127145,ac,50,166.3300,5
2569,41163,1377740;1377745;2812379;2812380;2822332;2822333,kpe,160,106.6800,1
2570,43530,1388999;1400363;1400364;1400369;1400370;2844330;44117070;44117071;44117107;44117108,ac,125,143.4300,
2571,43541,1357087;2842780;2842781,kpe,110,15.7800,
2572,41742,1353638;1353643;1353648;1353653;1353658;2815984;2815985;2827000;2827001,ov,50,88.5500,
2573,39907,1392998;1392999;1393015;1393021;1398211;1398212;1405076;1405077;2806978;55385605;55385606,kpe,110,166.4900,
2574,41207,2815078;2821681;2821682,kpe,160,39.3000,
2575,66114,1394421;1394425;1394426;2807201;2807202,kpe,90,43.3100,
2576,65931,1406480;1406481;4482181;12512899;12512900,kpe,110,94.5800,
2577,70893,1405679;1405975;1406166;1406167;2833136;2833137;20258380;20258381,kpe,110,246.8000,
2578,65946,1408711;1410904;1410905;1410910;1410911;1410916;1410921;1410922;2813614;2813615,kpe,110,95.2100,
2579,65956,2817134;2817135,kpe,63,2.8000,
2580,71091,1401195;1401199;1401204;2846256;2846257,ac,150,106.1200,
2581,70237,1402004;1402008;1405572;1405573,ac,80,49.7400,2
2582,63523,2813106;2813107,kpe,110,8.4500,
2583,42830,2807050;2807051,kpe,110,2.8700,
2584,40964,778542,kpe,160,2.7700,
2585,43279,778453,kpe,90,39.0600,
2586,41624,1354209;1354533;1374306;1377253;1377254;1377260;1377265;1377266;1379384;1379385;2841441;2841442,ac,150,169.3900,
2587,41635,1379305;1379306;1379314;1379315;1379320;1379321,ac,150,62.1000,1
2588,64399,782591,gov,150,3.9600,
2589,65535,1405032;1405037;1405147;1405148;1405154;1405155;1405160;1405161;2813094;2813095,kpe,110,114.7000,
2590,42635,1366900;1370848;1394203;2820331;2820332;2820394;2820395,kpe,110,32.2900,
2591,70824,2830073;2830074,kpe,200,7.7800,
2592,63424,793038,gov,150,0.5300,
2593,43695,1367529;1381037;1381043;1381050;1381056;1381062;1381067;1381068;1397808;1397814;1397820;1397826;1397832;1397837;1397838;1397845;1397851;1397852;2836945;2836946;2842594;2842595,ov,80,181.9800,
2594,70375,2814871;2814872,kpe,63,19.9800,
2595,68920,30592009;30592023;30592035;30592036,kpe,32,177.6900,
2596,70073,1351744;1351748;1351753;1351758;1351763;2841448;2841449,ac,100,89.5300,1
2597,65461,1350713;1356884;1385811;67614698;67869916;67869925;67869949;67869950,ac,200,1233.5100,
2598,70206,1373860;1373861;2847523;2847524,kpe,90,23.3500,1
2599,70873,1351798;1351799;1405714;10306637;10306638,ac,125,29.6300,
2600,64026,1354569;1354570,kpe,32,39.1100,
2601,66093,6272019;6272924;6274021;6274022;15259059;15259060,kpe,90,161.4500,
2602,66103,1386925;1404946;1404947;1404953;1406115;1410324;1410325;1410956;1410957;1410962;1410963;21906222;21906223,kpe,110,326.0500,
2603,66246,1410484;1410489;1410494;1410499;1410504;1410509;1410514;1410519;1410524;1410529;1410533;1410534;2814335;2814336,kpe,90,114.7000,
2604,65613,1350370;1350374;1400156;1400157,ov,80,25.9500,
2605,70743,1354462;2810482;2810483,kpe,110,20.2900,
2606,65775,1402789;1402794;1402800;1402806;1402812;1402813;1402818;1403218;1403219;2830728;2830729,ov,80,94.1000,4
2607,71920,778882,kpe,160,1.1500,
2608,45311,783797,ac,300,28.1200,
2609,44414,794838,kpe,160,17.5000,
2610,44423,2840005;2840018;2840019,kpe,110,34.9800,
2611,70610,35753986;35754003;35754004,gov,100,4.6400,
2612,70621,2838160;4305931;4305932,kpe,160,36.0200,1
2613,46198,1349522;1373404;1373408;1373409,kpe,110,59.7300,
2614,46452,1370234;1370235;1372868;1388484;1388485;1411330;2847304;25382835;25382836;78337264;78337265,gov,200,308.9400,
2615,46461,6273498;6273499;6273506;6273511;6273584;6273585,kpe,90,109.3300,
2616,46472,1406704;1406705;2847483;6273954;6273991;6273992,kpe,160,59.7600,
2617,65469,785747,kpe,110,1.1400,
2618,65480,1397917;1397921;1397926;1397931;1397935;1397936,ac,200,88.1800,
2619,65489,1369954;1371752;1371762;1371768;1371779;1371780;1371786;1371792;1371793;1371800;1371805;1371810;1394993;1394994,kpe,110,418.8400,1
2620,42593,1351310;1351315;1351320;1351321;2829613;2829614,kpe,110,99.9400,3
2621,42612,1350312;1350316;2847788;2847789,kpe,160,69.7900,
2622,45443245,45443256;45443257,kpe,90,10.8600,
2623,63651517,63651516,ac,125,112.3200,
2624,67869944,67869991;67892361;67892362,kpe,110,91.1100,
2625,70323730,70323799,ac,100,18.8400,
2626,70323738,70323737,ac,100,15.6800,
2627,70323754,70323753,ac,100,10.2000,1
2628,77870152,77870403,gov,500,242.4400,
2629,77870335,77870510;77870511,gov,400,3.2500,
2630,77870343,77870528;77870529,gov,400,3.0200,
2631,77870351,77870350,gov,500,802.3000,
2632,77870359,77870358,gov,500,202.6300,
2633,77870373,77870372,a,200,0.5400,
2634,77870381,77870380,a,80,0.4800,
2635,77870417,77870416,gov,500,279.4900,
2636,77870423,77870422,gov,500,1.0100,
2637,77870435,77870466;77870467,gov,500,0.6800,
2638,77870443,77870457;77870458,gov,500,0.6900,
2639,77870497,77870519;77870520,kpe,300,1.6400,
2640,77871328,77871351;77871352,gov,100,0.5800,
2641,59199785,59199784,kpe,110,32.8200,
2642,59199803,59199810;59199811,kpe,250,1.9800,
2643,59199819,59199829;59199830,kpe,110,2.5000,
2644,59199848,59199855;59199861;59199867;59199873;59199879;59199880,kpe,63,32.9900,
2645,67583510,67583541;67583542,ac,150,330.6200,
2646,73088,2810043;2810233;2810234,gov,400,46.1900,
2647,70519274,70519273,ac,250,39.0500,
2648,63651509,63651593;63651603;63651613;63651623;63651624,ac,125,81.0600,
2649,42953176,42953175,kpe,160,1.7200,
2650,42953185,42953184,kpe,160,2.8900,
2651,70519323,70519322,gov,500,15.1800,
2652,70519402,70519401,kpe,110,0.8300,
2653,80510954,80510953,kpe,63,167.2200,
2654,80510966,80510965,kpe,110,123.0800,
2655,80510975,80511020;80511265;80511266,kpe,110,142.1100,
2656,80510999,80511161;80511189;80511190;80511203;80511204;80511237;80511238,kpe,160,269.5800,
2657,80511005,80511252;80512224;80512225,kpe,160,9.6900,
2658,57711826,57711867;57711881;57711918;57711932;57711933;57711941;57711942;57711947;57711948,kpe,110,103.7900,
2659,67459246,67459654;67459668;67459669,kpe,110,49.2100,
2660,67459254,67459253,kpe,110,0.2600,
2661,67459262,67459261,kpe,110,0.1800,
2662,67459270,67459612;67459613,kpe,110,109.7100,
2663,67459278,67459277,kpe,110,0.3100,
2664,67459284,67459501;67459515;67459529;67459543;67459557;67459571;67459585;67459598;67459599,kpe,110,137.4400,
2665,67459292,67459627;67459640;67459641,kpe,110,80.0700,
2666,67459300,67459299,kpe,110,0.2600,
2667,67459331,67459330,kpe,110,0.4400,
